data;miesiac;oddzial;nr_transakcji;sku;nazwa_produktu;kategoria;ilosc;cena_jedn;cena_katalogowa;rabat;wartosc_brutto
2025-01-01;2025-01;Gdańsk;GDA-0133;HER-006;Matcha ceremonialna 30 g;Herbata;1;58,65;69,0;tak;58,65
2025-01-01;2025-01;Gdańsk;GDA-0207;KAW-004;Kawa mielona Espresso Blend 500 g;Kawa;1;49,0;49,0;nie;49,0
2025-01-01;2025-01;Gdańsk;GDA-0275;AKC-004;French press 1 l;Akcesoria;1;79,0;79,0;nie;79,0
2025-01-01;2025-01;Kraków;;AKC-004;French press 1 l;Akcesoria;1;79,0;79,0;nie;79,0
2025-01-01;2025-01;Warszawa;WAW/2025/00043;HER-002;Herbata zielona Sencha 100 g;Herbata;1;29,0;29,0;nie;29,0
2025-01-01;2025-01;Warszawa;WAW/2025/00089;AKC-005;Kubek termiczny 350 ml;Akcesoria;1;59,0;59,0;nie;59,0
2025-01-01;2025-01;Warszawa;WAW/2025/00116;HER-002;Herbata zielona Sencha 100 g;Herbata;2;29,0;29,0;nie;58,0
2025-01-01;2025-01;Warszawa;WAW/2025/00237;KAW-007;Kapsułki Lungo 30 szt.;Kawa;1;36,0;36,0;nie;36,0
2025-01-01;2025-01;Warszawa;WAW/2025/00468;HER-003;Herbata biała Pai Mu Tan 50 g;Herbata;1;28,9;34,0;tak;28,9
2025-01-01;2025-01;Warszawa;WAW/2025/00507;HER-004;Herbata owocowa Malina-Żurawina 100 g;Herbata;4;19,0;19,0;nie;76,0
2025-01-02;2025-01;Gdańsk;GDA-0032;KAW-002;Kawa ziarnista Etiopia Yirgacheffe 250 g;Kawa;3;42,0;42,0;nie;126,0
2025-01-02;2025-01;Gdańsk;GDA-0170;KAW-007;Kapsułki Lungo 30 szt.;Kawa;2;36,0;36,0;nie;72,0
2025-01-02;2025-01;Kraków;;KAW-007;Kapsułki Lungo 30 szt.;Kawa;1;36,0;36,0;nie;36,0
2025-01-02;2025-01;Warszawa;WAW/2025/00242;KAW-006;Kawa ziarnista Gwatemala Antigua 1 kg;Kawa;1;99,0;99,0;nie;99,0
2025-01-02;2025-01;Warszawa;WAW/2025/00251;KAW-006;Kawa ziarnista Gwatemala Antigua 1 kg;Kawa;2;99,0;99,0;nie;198,0
2025-01-02;2025-01;Warszawa;WAW/2025/00286;AKC-002;Filtry papierowe V60 100 szt.;Akcesoria;2;25,0;25,0;nie;50,0
2025-01-02;2025-01;Warszawa;WAW/2025/00320;KAW-004;Kawa mielona Espresso Blend 500 g;Kawa;1;49,0;49,0;nie;49,0
2025-01-03;2025-01;Gdańsk;GDA-0008;KAW-002;Kawa ziarnista Etiopia Yirgacheffe 250 g;Kawa;6;42,0;42,0;nie;252,0
2025-01-03;2025-01;Gdańsk;GDA-0156;KAW-002;Kawa ziarnista Etiopia Yirgacheffe 250 g;Kawa;1;42,0;42,0;nie;42,0
2025-01-03;2025-01;Kraków;;AKC-006;Waga kuchenna z timerem;Akcesoria;2;99,0;99,0;nie;198,0
2025-01-03;2025-01;Warszawa;WAW/2025/00171;HER-004;Herbata owocowa Malina-Żurawina 100 g;Herbata;2;19,0;19,0;nie;38,0
2025-01-03;2025-01;Warszawa;WAW/2025/00235;HER-005;Yerba Mate Klasyczna 500 g;Herbata;2;32,0;32,0;nie;64,0
2025-01-03;2025-01;Warszawa;WAW/2025/00344;KAW-002;Kawa ziarnista Etiopia Yirgacheffe 250 g;Kawa;1;42,0;42,0;nie;42,0
