Data;Kod produktu;Nazwa towaru;Iloœæ;Cena jedn.;Wartoœæ
01.01.2025;AKC-004;French press 1 l;1;79,00 z³;79,00 z³
02.01.2025;kaw-007;Kapsu³ki Lungo 30 szt.;1;36,00 z³;36,00 z³
03.01.2025;akc-006;Waga kuchenna z timerem;2;99,00 z³;198,00 z³
04.01.2025;kaw-003;Kawa ziarnista Kolumbia Supremo 1 kg;1;80,75 z³;80,75 z³
04.01.2025;akc-007;Czajnik z gêsi¹ szyjk¹ 1 l;1;149,00 z³;149,00 z³
04.01.2025;AKC-003;M³ynek rêczny stalowy;1;189,00 z³;189,00 z³
04.01.2025;KAW-002;Kawa ziarnista Etiopia Yirgacheffe 250 g;2;42,00 z³;84,00 z³
06.01.2025;KAW-001;Kawa ziarnista Brazylia Santos 1 kg;1;89,00 z³;89,00 z³
07.01.2025;kaw-005;Kawa bezkofeinowa Meksyk 250 g;1;39,00 z³;39,00 z³
07.01.2025;kaw-007;Kapsu³ki Lungo 30 szt.;1;36,00 z³;36,00 z³
07.01.2025;KAW-002;Kawa ziarnista Etiopia Yirgacheffe 250 g;1;42,00 z³;42,00 z³
08.01.2025;KAW-002;Kawa ziarnista Etiopia Yirgacheffe 250 g;1;42,00 z³;42,00 z³
08.01.2025;KAW-003;Kawa ziarnista Kolumbia Supremo 1 kg;1;95,00 z³;95,00 z³
09.01.2025;her-006;Matcha ceremonialna 30 g;1;69,00 z³;69,00 z³
09.01.2025;KAW-001;Kawa ziarnista Brazylia Santos 1 kg;3;89,00 z³;267,00 z³
09.01.2025;kaw-001;Kawa ziarnista Brazylia Santos 1 kg;1;89,00 z³;89,00 z³
09.01.2025;her-005;Yerba Mate Klasyczna 500 g;3;32,00 z³;96,00 z³
10.01.2025;kaw-007;Kapsu³ki Lungo 30 szt.;2;30,60 z³;61,20 z³
10.01.2025;kaw-005;Kawa bezkofeinowa Meksyk 250 g;4;39,00 z³;156,00 z³
11.01.2025;her-005;Yerba Mate Klasyczna 500 g;6;32,00 z³;192,00 z³
11.01.2025;KAW-006;Kawa ziarnista Gwatemala Antigua 1 kg;1;99,00 z³;99,00 z³
11.01.2025;KAW-004;Kawa mielona Espresso Blend 500 g;2;49,00 z³;98,00 z³
11.01.2025;kaw-006;Kawa ziarnista Gwatemala Antigua 1 kg;1;99,00 z³;99,00 z³
11.01.2025;kaw-001;Kawa ziarnista Brazylia Santos 1 kg;1;89,00 z³;89,00 z³
12.01.2025;kaw-005;Kawa bezkofeinowa Meksyk 250 g;1;39,00 z³;39,00 z³
12.01.2025;kaw-001;Kawa ziarnista Brazylia Santos 1 kg;4;89,00 z³;356,00 z³
12.01.2025;KAW-007;Kapsu³ki Lungo 30 szt.;3;36,00 z³;108,00 z³
13.01.2025;kaw-002;Kawa ziarnista Etiopia Yirgacheffe 250 g;1;42,00 z³;42,00 z³
13.01.2025;her-002;Herbata zielona Sencha 100 g;4;29,00 z³;116,00 z³
14.01.2025;kaw-003;Kawa ziarnista Kolumbia Supremo 1 kg;1;95,00 z³;95,00 z³
15.01.2025;her-001;Herbata czarna Assam 100 g;3;20,40 z³;61,20 z³
15.01.2025;her-005;Yerba Mate Klasyczna 500 g;2;27,20 z³;54,40 z³
15.01.2025;kaw-003;Kawa ziarnista Kolumbia Supremo 1 kg;3;95,00 z³;285,00 z³
15.01.2025;akc-005;Kubek termiczny 350 ml;6;59,00 z³;354,00 z³
15.01.2025;KAW-006;Kawa ziarnista Gwatemala Antigua 1 kg;3;84,15 z³;252,45 z³
16.01.2025;KAW-001;Kawa ziarnista Brazylia Santos 1 kg;1;89,00 z³;89,00 z³
17.01.2025;HER-002;Herbata zielona Sencha 100 g;4;29,00 z³;116,00 z³
17.01.2025;akc-002;Filtry papierowe V60 100 szt.;1;25,00 z³;25,00 z³
17.01.2025;KAW-002;Kawa ziarnista Etiopia Yirgacheffe 250 g;1;42,00 z³;42,00 z³
17.01.2025;kaw-007;Kapsu³ki Lungo 30 szt.;2;36,00 z³;72,00 z³
