order_id,order_date,sku,quantity,unit_price
WAW/2025/00043,2025-01-01,HER-002,1,29.00
WAW/2025/00089,2025-01-01,AKC-005,1,59.00
WAW/2025/00116,2025-01-01,HER-002,2,29.00
WAW/2025/00237,2025-01-01,KAW-007,1,36.00
WAW/2025/00468,2025-01-01,HER-003,1,28.90
WAW/2025/00507,2025-01-01,HER-004,4,19.00
WAW/2025/00242,2025-01-02,KAW-006,1,99.00
WAW/2025/00251,2025-01-02,KAW-006,2,99.00
WAW/2025/00286,2025-01-02,AKC-002,2,25.00
WAW/2025/00320,2025-01-02,KAW-004,1,49.00
WAW/2025/00171,2025-01-03,HER-004,2,19.00
WAW/2025/00235,2025-01-03,HER-005,2,32.00
WAW/2025/00344,2025-01-03,KAW-002,1,42.00
WAW/2025/00365,2025-01-03,KAW-006,3,84.15
WAW/2025/00233,2025-01-04,KAW-003,1,95.00
WAW/2025/00284,2025-01-04,HER-005,1,32.00
WAW/2025/00081,2025-01-05,KAW-001,1,75.65
WAW/2025/00296,2025-01-05,HER-005,1,32.00
WAW/2025/00421,2025-01-05,KAW-005,3,39.00
WAW/2025/00132,2025-01-06,KAW-005,1,39.00
WAW/2025/00393,2025-01-07,HER-006,1,69.00
WAW/2025/00137,2025-01-09,HER-004,6,19.00
WAW/2025/00190,2025-01-09,KAW-007,1,30.60
WAW/2025/00275,2025-01-09,KAW-004,3,49.00
WAW/2025/00349,2025-01-09,KAW-099,2,55.00
WAW/2025/00376,2025-01-09,HER-006,4,69.00
WAW/2025/00429,2025-01-09,HER-001,2,24.00
WAW/2025/00188,2025-01-10,HER-002,1,29.00
WAW/2025/00220,2025-01-10,KAW-005,1,39.00
WAW/2025/00244,2025-01-10,AKC-001,4,119.00
WAW/2025/00375,2025-01-10,AKC-007,1,149.00
WAW/2025/00142,2025-01-11,KAW-099,4,55.00
WAW/2025/00340,2025-01-11,HER-004,2,19.00
WAW/2025/00360,2025-01-11,KAW-002,6,42.00
WAW/2025/00078,2025-01-12,KAW-003,1,95.00
WAW/2025/00106,2025-01-12,HER-002,1,24.65
WAW/2025/00323,2025-01-12,AKC-003,6,189.00
WAW/2025/00418,2025-01-12,KAW-006,2,99.00
WAW/2025/00079,2025-01-13,AKC-003,1,189.00
WAW/2025/00193,2025-01-14,KAW-007,1,36.00
WAW/2025/00155,2025-01-15,KAW-002,1,42.00
WAW/2025/00238,2025-01-15,KAW-002,2,42.00
WAW/2025/00364,2025-01-15,KAW-006,1,99.00
WAW/2025/00383,2025-01-15,KAW-004,1,41.65
WAW/2025/00016,2025-01-16,KAW-004,2,49.00
WAW/2025/00355,2025-01-16,HER-002,2,29.00
WAW/2025/00059,2025-01-17,HER-001,1,24.00
WAW/2025/00165,2025-01-17,KAW-001,1,89.00
WAW/2025/00174,2025-01-17,KAW-006,1,99.00
WAW/2025/00181,2025-01-17,AKC-007,1,149.00
WAW/2025/00366,2025-01-17,KAW-007,3,36.00
WAW/2025/00377,2025-01-17,HER-002,2,29.00
WAW/2025/00015,2025-01-18,AKC-004,2,79.00
WAW/2025/00199,2025-01-18,KAW-006,6,99.00
WAW/2025/00459,2025-01-18,KAW-002,1,42.00
WAW/2025/00480,2025-01-18,KAW-005,1,39.00
WAW/2025/00012,2025-01-19,KAW-006,1,99.00
WAW/2025/00075,2025-01-19,KAW-001,1,75.65
WAW/2025/00113,2025-01-20,KAW-002,4,42.00
WAW/2025/00120,2025-01-20,KAW-006,1,99.00
WAW/2025/00185,2025-01-20,HER-006,1,69.00
WAW/2025/00322,2025-01-20,KAW-005,1,39.00
WAW/2025/00463,2025-01-20,KAW-007,3,36.00
WAW/2025/00020,2025-01-21,KAW-005,1,39.00
WAW/2025/00160,2025-01-21,KAW-005,1,39.00
WAW/2025/00247,2025-01-22,KAW-001,1,89.00
WAW/2025/00162,2025-01-23,KAW-006,4,99.00
WAW/2025/00482,2025-01-23,KAW-005,6,39.00
WAW/2025/00495,2025-01-23,HER-004,1,19.00
WAW/2025/00131,2025-01-24,KAW-005,1,39.00
